Sr No,Subsidy scheme,Scheme Type,Ministry,Description,Visiting link to know more,Applicability Central/State
164,"Technology Upgradation, Quality Certification: MSME Manufacturing Enterprises",Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Quality improvement interventions by MSMEs such as up-gradation of existing technologies and installing of new technologies for quality control, cleaner environmental friendly production, quality testing and fee paid for quality certifications would be eligible for incentives as in the table.
                                
Eligibility: All MSMEs as per category

                                    We connect certification for Women owned Business enterprises (WBEs)
                                    For a period of 3 years maximum limit Rs.75,000/
                                    100% of certification fees for the 1st year - max. Rs.30,000
                                    90% of certification fees for the 2nd year - max. Rs.27,000
                                    80% of certification fees for the 3rd year- max, Rs.18,000.",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
165,Water Harvesting / Conservation Measures (Small and Medium Manufacturing Enterprises only),Women,Govt. of Karnataka,"Scheme Summary/key features:
                                Scheme for water harvesting and water conservation for SMEs only
Eligibility: Small & medium enterprises only
Amount or percentage of subsidy:


Rain water harvesting


General category
Special category (SC/ST/Women/minorities/physically challenged and ex-servicemen entrepreneurs)



                                            For all zones

                                            50% of cost of equipment
                                            (max.Rs.2.00 lakh)	For all zones
                                        

                                            75% of cost of equipment
                                            (max, Rs.2.50 lakh)
                                            Waste water recycling
                                        

Waste water recycling


                                            For all zones

                                            50% of cost of equipment
                                            (max.Rs.7.50lakh)	For all zones
                                        

                                            For all zones
                                            75% of cost of equipment
                                            (max, Rs.8.50 lakh)",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
166,"Energy Conservation (Micro, Small & Medium Manufacturing Enterprises",Women,Govt. of Karnataka,"Scheme Summary/key features:
                                To conserve the crucial energy resources, the Government of India enacted the Energy Conservation Act, 2001. The Act brought every sector of the economy under the purview of energy conservation and efficient management. Through the Implementation of Scheme for Technology and Quality Upgradation Support to MSMEs Under National Manufacturing Competitiveness Programme the major activity of the scheme is   Capacity Building of MSME Clusters for Energy Efficiency/Clean Development Mechanism The primary objective of this Activity is to handhold the MSME clusters in adopting energy efficient processes. Under the activity, the following initiatives will be taken up: i. Conducting awareness programmes in MSME clusters on
                                • energy efficient technologies;
                                • availability of energy efficient equipment’s and
                                • the need for energy efficiency and cash benefits from energy efficient technologies (EET) and Clean Development Mechanism (CDM). ii. Supporting energy audits in sample units (3 Nos. in each cluster representing the micro, small and medium enterprises respectively) in energy intensive clusters. The related activities will be identification of energy efficient technologies for typical production units and preparation of model Detailed Project Report (DPRs) for cost effective, bankable energy efficient projects. The recommendations in the model DPRs will be used with the cluster based MSMEs for demonstrating the scope, need and financial benefits from EET projects. iii. Promoting replication of model EET projects in the cluster based MSMEs and subsidizing the preparation cost of the DPRs for the EET projects taken up by the individual MSMEs.

Amount or percentage of subsidy:
                                Towards organizing the awareness programmes, the Government of India will provide financial support to the extent of 75% of the actual expenditure, subject to maximum Rs.75,000/ - per programme (Average cost of one programme is expected to be Rs. 80,000).
                                The Government of India will provide financial support to the extent of 25% of the project cost for implementation of Energy Efficient Technologies (EET), as per the approved DPR. The maximum amount of GOI assistance from the scheme will be Rs.10 lakhs (Average subsidy for one EET project is estimated to be Rs. 5.0 lakh). For setting up CCA centres The Govt. of India will provide financial support to the extent of 75% of the actual expenditure, subject to a  maximum Rs.15 lakh for establishing each of these centres. (Average cost of setting up of one CCA is expected to be Rs. 15.0 lakh). The remaining expenditure will have to be met by the implementing agency/ SPV through collection of users’ charges
                                For acquiring product certification licences from national/international bodies MSME manufacturing units will be provided subsidy to the extent of 75% of the actual expenditure, towards licensing of product to National/International Standards. The maximum GOI assistance allowed per MSME is Rs.1.5 lakh (Average Rs. 0.75 lakh) for obtaining product licensing /Marking to National Standards and Rs. 2.0 lakh (Average Rs. 1.50 lakh) for obtaining product licensing /Marking to International standards",https://ebiz.karnataka.gov.in/kum/PDFS/Industrial%20Policy%202020-25.pdf,Karnataka
1,Amended Technology Upgradation Fund Scheme (ATUFS),All,"Ministry of Textiles, Govt. of India","Scheme summary/key features:
                                        ATUFS scheme will provide one-time capital subsidy for investments in employment and technology intensive segments of textile value chain keeping in view promotion of exports and import substitution. This is a credit linked scheme and projects for technology upgradation covered by a prescribed limit of term loans sanctioned by the lending agencies only will be eligible for grant of benefits under the scheme. Second hand machinery will not be eligible. The scheme will be effective till 31 March 2022.
Eligibility:
                                            Only those entities that fall under the following sectors are eligible to apply:
                                        •	Weaving, Weaving Preparatory and Knitting
                                        •	Processing of fibres, yarns, fabrics, garments and made up
                                        •	Handloom Sector
                                        •	Silk Sector
                                        •	Jute Sector
                                        •	Garment/Made up manufacturing
                                        •	Technical textiles
Amount or percentage of subsidy:
                                        For Garmenting and technical textiles segment the rate of Capital-Intensive Subsidy is 15% of eligible machines subject to a cap of Rs.30 Crore per individual entity.
                                        Weaving for brand-new shuttle less looms processing jute silk and handlooms -10% on eligible machines subject to a cap of Rs.20 Crore to individual entity.
                                        Composite unit/ multiple segment -If the eligible capital investment in respect of garmenting and technical textile category is more than 50% of the eligible project cost the subsidy is 15% on eligible machines subject to a cap of Rs.30 Crore. If it is less than 50% of eligible project cost the subsidy is 10% of eligible machines with a cap of Rs.20 Crore",https://www.startupindia.gov.in/content/sih/en/government-schemes/amended_technology_upgradation_fund_scheme.html,Central
2,Integrated Development of Leather Sector (IDLS) Scheme,All,"Ministry of Commerce & Industry Govt.of India through
                                    Council for Leather Exports
                                    (CLE)","Scheme summary/key features:
                                    IDLS Scheme provides investment grant for modernization, technology up gradation and capacity expansion in all segments of the leather industry. The scheme provides financial assistance @ 30% of the cost of plant and machinery for SSI units and 20% of the cost of the plant and machinery for Non-SSI units, subject to a ceiling of Rs.200 lakh (@ 20% to all units above the assistance of Rs.50 Lakh). The IDLS Scheme is implemented through multiple agencies
                                    The DIPP has taken a decision that the financial assistance / investment grant under the IDLS Scheme would be approved for tanneries operating in all parts of the country, subject to submission of certificate from Department of Industries of State Government / State Pollution Control Board regarding compliance of environmentally sound waste water management by the applicant unit(s).
Eligibility:All existing units in leather footwear and accessories industries including tanneries leather goods saddlery, leather footwear non leather footwear and footwear component sector having cash profits for 2 years undertaking viable and bankable programmes on technology upgradation on or after 1st January 2016,
Amount or percentage of subsidy:   Back end subsidy as mentioned in scheme summary above,",http://leatherindia.org/wp-content/uploads/2017/12/2.-Guidelines-Integrated-Development-of-Leather-Sector-IDLS.pdf,Central
3,Credit Linked Capital Subsidy Scheme for Technology Upgradation (CLCSS),All,"Ministry of MSME,Govt.of India","Scheme summary:
                                    
                                    The Scheme aims at facilitating Technology Upgradation of Micro and Small Enterprises by providing 15% capital subsidy [ceiling of 15 lakh] on institutional finance availed by them for induction of well-established and improved technology in approved sub-sectors/products.

                                    The admissible capital subsidy is calculated with reference to purchase price of Plant and Machinery. Maximum limit of eligible loan for calculation of subsidy is 100 lakh. Operational Procedure under CLCSS scheme is now online and a paperless process
Eligibility:   Small and micro-enterprises that belong to -sub-sectors specified by the Ministry of MSME will be deemed eligible for this subsidy scheme.
                                    •	Both new and existing enterprises can avail subsidy under this scheme.
                                    •	Small and micro-enterprises based in semi-urban and rural areas with a valid UAM number are also eligible.
                                    •	Typically, the enterprises include – sole-proprietorship, private limited companies, tiny industries, khadi, coir units, partnerships, village industries, etc.
                                    . Banks and financial institutions can apply to DC-MSME for availing support.
                                    - MSMEs need to directly contact the respective banks for getting credit and capital subsidy.
Amount or Percentage of subsidy:   According to the revised CLSS scheme, an extra 10% subsidy is extended to entrepreneurs who belong to the SC/ST category and hail from the selected districts of the North-East or other hilly terrains.",https://my.msme.gov.in/mymsme/reg/COM_ClcssAppForm.aspx,Central
4,Technology& Quality Upgradation Support for MSMEs (TEQUP),All,"Ministry of MSME, Govt. of India","Scheme summary/key features:

                                    Cost of energy is an important component of the cost structure in any manufacturing process. As such, to reduce production costs and remain competitive, MSMEs need to focus on economising on energy use. The first objective of the present Scheme is to sensitize the manufacturing MSME sector in India to the use of energy efficient technologies and manufacturing processes so as to reduce cost of production and the emissions of GHGs. Activities under the scheme are: I. Capacity Building of MSME Clusters for Energy Efficiency/Clean Development Interventions and other technologies mandated as per the global standards. ii. Implementation of Energy Efficient Technologies (EET) in MSME units. iii. Setting up of Carbon Credit Aggregation Centres (CCA) for introducing and popularising clean development mechanism (CDM) in MSME clusters. iv. Encouraging MSMEs to acquire product certification/ licences from National/International bodies and adopt other technologies mandated as per the global standards. v. Study of Impact of the scheme, administrative and other miscellaneous items.

                                        Eligibility:
                                    MSME clusters identified
 Amount or percentage of subsidy:
                                    Towards organizing the awareness programmes, the Government of India will provide financial support to the extent of 75% of the actual expenditure, subject to maximum Rs.75,000/ - per programme (Average cost of one programme is expected to be Rs. 80,000).
                                    The Government of India will provide financial support to the extent of 25% of the project cost for implementation of Energy Efficient Technologies (EET), as per the approved DPR. The maximum amount of GOI assistance from the scheme will be Rs.10 lakhs (Average subsidy for one EET project is estimated to be Rs. 5.0 lakh).
                                    For setting up CCA centres The Govt. of India will provide financial support to the extent of 75% of the actual expenditure, subject to a maximum Rs.15 lakh for establishing each of these centres. (Average cost of setting up of one CCA is expected to be Rs. 15.0 lakh). The remaining expenditure will have to be met by the implementing agency/ SPV through collection of users’ charges
                                    For acquiring product certification licences from national/international bodies MSME manufacturing units will be provided subsidy to the extent of 75% of the actual expenditure, towards licensing of product to National/International Standards. The maximum GOI assistance allowed per MSME is Rs.1.5 lakh (Average Rs. 0.75 lakh) for obtaining product licensing /Marking to National Standards and Rs. 2.0 lakh (Average Rs. 1.50 lakh) for obtaining product licensing /Marking to International standards","http://www.dcmsme.gov.in/schemes/TEQUPDetail.htm
http://www.dcmsme.gov.in/schemes/TEQUP_Guidelines_latest.pdf",Central
5,Government Subsidy for Small Business for Cold Chain,All,"Ministry of Food Processing Industries, Govt. of India","Scheme summary/key features:
                                    
                                    The objective of the scheme of Cold Chain, Value Addition and Preservation Infrastructure is to provide integrated cold chain and preservation infrastructure facilities without any break from the farm gate to the consumer.
                                    It covers pre-cooling facilities at production sites, reefer vans, mobile cooling units as well as value addition centres which includes infrastructural facilities like Processing/Multi-line Processing/ Collection Centres, etc. for horticulture, organic produce, marine, dairy, meat and poultry etc.
 Eligibility: 
                                    Individual, Groups of Entrepreneurs, Cooperative Societies, Self Help Groups (SHGs), Farmers Producer Organizations (FPOs), NGOs, Central/State PSUs etc. with business interest in Cold Chain solutions are eligible to setup integrated cold chain and preservation infrastructure and avail grant under the Scheme

                                        Amount of subsidy or percentage:
                                    
                                    For storage infrastructure including Pack House and Pre cooling unit, ripening chamber and transport infrastructure, grant-in-aid @ 35% for General Areas and @ 50% for North East States, Himalayan States, Islands & ITDP Areas, of the total cost of plant & machinery and technical civil works will be provided. (b) For value addition and processing infrastructure including frozen storage/ deep freezers associated and integral to the processing, grant-in-aid @ 50% for General Areas and @ 75% for North East States, Himalayan States, Islands & ITDP Areas, will be provided. (c) For irradiation facilities grant-in-aid will be provided @ 50% for General Areas and @ 75% for North East States, Himalayan States, Islands & ITDP Areas.",http://mofpi.nic.in/,Central
6,Extensionof Financial Assistance to Coir units in the Brown Fibre sector,All,"Ministry of MSME, Govt. of India","Scheme summary/key features: The Coir Board runs a scheme for financial assistance to the coir units in the brown fibre sector.
Eligibility: Coir Units desiring to avail of the assistance under the scheme should be registered with the Coir Board under the Coir Industry (R&L) Rules 1958 and also with the Industries Department of the State in which the Unit is located.  Assistance under the scheme will be extended only to units outside the cooperative fold.  The Units for extraction of coir fibre / spinning of coir yarn should be located in areas with adequate availability of coconut husk / coir fibre.
Amount or percentage of subsidy:The rate of financial assistance under the scheme is 25% of the cost of equipment and infrastructural facilities subject to certain ceiling limits based on the type of unit.",http://coirboard.gov.in/wp-content/uploads/2014/07/5_FA_TERMS.pdf/,Central
7,Scheme for Extension of Financial Assistance for Generator Set / Diesel Engine,All,"Ministry of MSME, Govt. of India","Scheme summary/key features:
                                    
                                    The purpose of the scheme is to give one-time subsidy to fibre/ curled coir production units in the brown fibre sector to carry out production at periods of power cut/ low voltage and to ensure supply of brown fibre and curled coir to meet the requirements of rubberized coir products, coir rope, yarn and mats and matting sectors.

                                        Eligibility:
                                    
                                    The units which satisfy the following are only eligible for subsidy under the scheme.
                                    1. The unit should have a valid registration with the Coir Board under the Coir Industry (R & L) Rules 1958
                                    2. The unit should have a final SSI registration with the Industries Department of the State concerned.
                                    3. The unit should produce a No Objection Certificate from the State Electricity Board for installation of generator set as per rules in the State concerned. 4. The capacity of generator set should be subject to the requirement of the unit as specified in the registration certificate.
                                    5. A three phase power supply should be available in the unit 6. The application for generator subsidy should be recommended by the General Manager, DIC. 7. The unit should obtain a clearance to the proposal in advance from the Regional Officer of the Coir Board concerned to the State.
Amount or Percentage of subsidy: The quantum of subsidy for one unit will be 25% of the cost of generator set subject to a maximum of 50000/-. This will be a onetime financial assistance and will be granted on the basis of expenditure incurred by the unit",http://coirboard.gov.in/wp-content/uploads/2014/07/5_FA_SEFA.pdf,Central
8,Marketing Assistance Scheme by NSIC,All,"Ministry of MSME, Govt. of India","Scheme summary/key features
                                    
                                    The marketing assistance scheme provides assistance for the following activities:
                                    a) Organisation of exhibitions abroad and participation in international exhibitions/ trade fairs
                                    b) Co-sponsoring of exhibitions organised by other organisations/industry associations/ agencies;
                                    c) Organising buyer-seller meets, intensive campaigns and marketing promotion activities.

                                     Eligibility:  MSMEs, Industry Associations and other organisations related to MSME sector are eligible to apply.

                                    Amount or percentage of subsidy:
                                    a). The maximum net budgetary support for participating in an international exhibition/trade fair would normally be restricted to an overall ceiling of Rs. 30 lakh per event (Rs. 40 lakh for Latin American countries).
                                    (b). The budget for organizing the Domestic Exhibitions/Trade Fair would depend upon the various components of the expenditure, i.e. space rental including construction and fabricating charges, theme pavilion, advertisement, printing material, transportation etc. However, the budgetary support towards net expenditure for organizing such exhibition/trade fair would normally be restricted to a maximum amount of Rs. 45 lakhs. The corresponding budgetary limit for participation in an exhibition/trade fair shall be Rs. 15 lakh.

                                    Financial assistance will be provided ranging from 25% to 95% of the Air-Fare and space rent to entrepreneurs on the basis of size and type of the enterprise. Financial assistance for co-sponsoring an event would be limited to 40% of the net expenditure, subject to a maximum amount of 5 lakh.",https://www.nsic.co.in/schemes/MarketingAssistance,Central
9,ISO 9000/ISO 14001 Certification Reimbursement Scheme,All,"Ministry of MSME, Govt. of India","Scheme Summary/key features:
                                    
                                    The scheme provides incentives to those SMEs/ancillary undertakings who have acquired ISO 9000/ISO 14001/HACCP certification. The scheme is enlarged so as to include reimbursement of expenses for acquiring ISO 14001 certification.
 Eligibility:  Permanent registered micro and small enterprises (MSEs) are eligible to avail the incentive scheme. The scheme is applicable to those MSEs/ancillary/SSSB units who have already acquired ISO-9000/ISO-14001/ HACCP certification.
Amount or percentage of subsidy:
                                    The scheme envisages reimbursement of charges for acquiring ISO-9000/ISO- 14001/HACCP certification to the extent of 75% of expenditure subject to a maximum of Rs.75,000 in each case.",https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_2.html,Central
